date,shop_id,name,url
2026-08-29,alza-cz,Pokémon TCG: SV10.5 Black Bolt - Booster Bundle,https://www.alza.cz/hracky/pokemon-tcg-sv10-5-black-bolt-booster-bundle-d13007823.htm
2026-08-29,alza-cz,Pokémon TCG: SV06 Twilight Masquerade - Booster,https://www.alza.cz/hracky/pokemon-tcg-sv06-twilight-masquerade-booster-d12351167.htm
2026-08-29,alza-cz,Pokémon TCG: SV03 Obsidian Flames - 1 Blister Booster,https://www.alza.cz/hracky/pokemon-tcg-sv03-obsidian-flames-1-blister-booster-d7850566.htm
2026-08-29,alza-cz,Pokémon TCG: SV08 Surging Sparks - Kiosk Booster,https://www.alza.cz/hracky/pokemon-tcg-sv08-surging-sparks-kiosk-booster-d12812403.htm
2026-08-29,alza-cz,Pokémon TCG: SV05 Temporal Forces - Booster,https://www.alza.cz/hracky/pokemon-tcg-sv05-temporal-forces-booster-d10676349.htm
2026-08-29,alza-cz,Pokémon TCG: SV02 Paldea Evolved - Kiosk Booster,https://www.alza.cz/hracky/pokemon-tcg-sv02-paldea-evolved-kiosk-booster-d12812402.htm
2026-08-29,alza-cz,Pokémon TCG: SV05 Temporal Forces - Kiosk Booster,https://www.alza.cz/hracky/pokemon-tcg-sv05-temporal-forces-kiosk-booster-d12812401.htm
2026-08-29,alza-cz,Pokémon TCG: SV05 Temporal Forces - 3 Blister Booster,https://www.alza.cz/hracky/pokemon-tcg-sv05-temporal-forces-3-blister-booster-d10676354.htm
2026-08-29,alza-cz,Pokémon TCG: SV08 Surging Sparks - 3 Blister Booster,https://www.alza.cz/hracky/pokemon-tcg-sv08-surging-sparks-3-blister-booster-d12534213.htm
2026-08-29,alza-cz,Pokémon TCG: SV01 Scarlet & Violet - 3 Blister Booster,https://www.alza.cz/hracky/pokemon-tcg-scarlet-violet-3-blister-booster-d7641015.htm
2026-08-29,alza-cz,Pokémon TCG: SV06 Twilight Masquerade - 3 Blister Booster,https://www.alza.cz/hracky/pokemon-tcg-sv06-twilight-masquerade-3-blister-booster-d12351169.htm
2026-08-29,alza-cz,Pokémon TCG: SV10.5 White Flare - Elite Trainer Box,https://www.alza.cz/hracky/pokemon-tcg-sv10-5-white-flare-elite-trainer-box-d13007824.htm
2026-08-29,alza-cz,Pokémon TCG: ME01 - Elite Trainer Box,https://www.alza.cz/hracky/pokemon-tcg-me01-elite-trainer-box-d13111918.htm
2026-08-29,alza-cz,Pokémon TCG: SV4.5 Paldean Fates - Elite Trainer Box,https://www.alza.cz/hracky/pokemon-tcg-sv4-5-paldean-fates-elite-trainer-box-d9352786.htm
2026-08-29,alza-cz,Pokémon TCG: SV05 Temporal Forces - Elite Trainer Box - Iron Thorns,https://www.alza.cz/hracky/pokemon-tcg-sv05-temporal-forces-elite-trainer-box-iron-thorns-d10676350.htm
2026-08-29,alza-cz,Pokémon TCG: SV07 Stellar Crown - Elite Trainer Box,https://www.alza.cz/hracky/pokemon-tcg-sv07-stellar-crown-elite-trainer-box-d12497095.htm
2026-08-29,alza-cz,Pokémon TCG: SV06 Twilight Masquerade - Elite Trainer Box,https://www.alza.cz/hracky/pokemon-tcg-sv06-twilight-masquerade-elite-trainer-box-d12351174.htm
2026-08-29,alza-cz,Pokémon TCG: SV05 Temporal Forces - Elite Trainer Box - Flutter Mane,https://www.alza.cz/hracky/pokemon-tcg-sv05-temporal-forces-elite-trainer-box-flutter-mane-d10676348.htm
2026-08-29,alza-sk,Pokémon TCG: SV09 Journey Together – Booster,https://www.alza.sk/hracky/pokemon-tcg-sv09-journey-together-booster-d12829305.htm
2026-08-29,alza-sk,Pokémon TCG: ME01 – Booster,https://www.alza.sk/hracky/pokemon-tcg-me01-booster-d13111922.htm
2026-08-29,alza-sk,Pokémon TCG: SV03 Obsidian Flames – Booster,https://www.alza.sk/hracky/pokemon-tcg-sv03-obsidian-flames-booster-d7850567.htm
2026-08-29,alza-sk,Pokémon TCG: SV06 Twilight Masquerade – Booster,https://www.alza.sk/hracky/pokemon-tcg-sv06-twilight-masquerade-booster-d12351167.htm
2026-08-29,alza-sk,Pokémon TCG: SV02 Paldea Evolved – Booster,https://www.alza.sk/hracky/pokemon-tcg-sv02-paldea-evolved-booster-d7761761.htm
2026-08-29,alza-sk,Pokémon TCG: SV10.5 White Flare – Booster Bundle,https://www.alza.sk/hracky/pokemon-tcg-sv10-5-white-flare-booster-bundle-d13007826.htm
2026-08-29,alza-sk,Pokémon TCG: SV03 Obsidian Flames – 1 Blister Booster,https://www.alza.sk/hracky/pokemon-tcg-sv03-obsidian-flames-1-blister-booster-d7850566.htm
2026-08-29,alza-sk,Pokémon TCG: SV10.5 Black Bolt – Booster Bundle,https://www.alza.sk/hracky/pokemon-tcg-sv10-5-black-bolt-booster-bundle-d13007823.htm
2026-08-29,alza-sk,Pokémon TCG: SV08 Surging Sparks – Kiosk Booster,https://www.alza.sk/hracky/pokemon-tcg-sv08-surging-sparks-kiosk-booster-d12812403.htm
2026-08-29,alza-sk,Pokémon TCG: SV02 Paldea Evolved – Kiosk Booster,https://www.alza.sk/hracky/pokemon-tcg-sv02-paldea-evolved-kiosk-booster-d12812402.htm
2026-08-29,alza-sk,Pokémon TCG: SV05 Temporal Forces – 3 Blister Booster,https://www.alza.sk/hracky/pokemon-tcg-sv05-temporal-forces-3-blister-booster-d10676354.htm
2026-08-29,alza-sk,Pokémon TCG: SV05 Temporal Forces – Kiosk Booster,https://www.alza.sk/hracky/pokemon-tcg-sv05-temporal-forces-kiosk-booster-d12812401.htm
2026-08-29,alza-sk,Pokémon TCG: SV07 Stellar Crown – 3 Blister Booster,https://www.alza.sk/hracky/pokemon-tcg-sv07-stellar-crown-3-blister-booster-d12497093.htm
2026-08-29,alza-sk,Pokémon TCG: SV06 Twilight Masquerade – 3 Blister Booster,https://www.alza.sk/hracky/pokemon-tcg-sv06-twilight-masquerade-3-blister-booster-d12351169.htm
2026-08-29,alza-sk,Pokémon TCG: SV08 Surging Sparks – 3 Blister Booster,https://www.alza.sk/hracky/pokemon-tcg-sv08-surging-sparks-3-blister-booster-d12534213.htm
2026-08-29,alza-sk,Pokémon TCG: SV10 Destined Rivals – Elite Trainer Box,https://www.alza.sk/hracky/pokemon-tcg-sv10-destined-rivals-elite-trainer-box-d12948906.htm
2026-08-29,alza-sk,Pokémon TCG: SV4.5 Paldean Fates – Elite Trainer Box,https://www.alza.sk/hracky/pokemon-tcg-sv4-5-paldean-fates-elite-trainer-box-d9352786.htm
2026-08-29,alza-sk,Pokémon TCG: SV6.5 Shrouded Fable – Elite Trainer Box,https://www.alza.sk/hracky/pokemon-tcg-sv6-5-shrouded-fable-elite-trainer-box-d12464446.htm
2026-08-29,alza-sk,Pokémon TCG: ME01 – Elite Trainer Box,https://www.alza.sk/hracky/pokemon-tcg-me01-elite-trainer-box-d13111918.htm
2026-08-29,alza-sk,Pokémon TCG: SV07 Stellar Crown – Elite Trainer Box,https://www.alza.sk/hracky/pokemon-tcg-sv07-stellar-crown-elite-trainer-box-d12497095.htm
2026-08-29,alza-sk,Pokémon TCG: SV06 Twilight Masquerade – Elite Trainer Box,https://www.alza.sk/hracky/pokemon-tcg-sv06-twilight-masquerade-elite-trainer-box-d12351174.htm
2026-08-29,alza-sk,Pokémon TCG: SV10.5 White Flare – Elite Trainer Box,https://www.alza.sk/hracky/pokemon-tcg-sv10-5-white-flare-elite-trainer-box-d13007824.htm
2026-08-29,alza-sk,Pokémon TCG: SV10.5 Black Bolt – Elite Trainer Box,https://www.alza.sk/hracky/pokemon-tcg-sv10-5-black-bolt-elite-trainer-box-d13007819.htm
2026-08-29,alza-sk,Pokémon TCG: SV05 Temporal Forces – Elite Trainer Box – Flutter Mane,https://www.alza.sk/hracky/pokemon-tcg-sv05-temporal-forces-elite-trainer-box-flutter-mane-d10676348.htm
2026-08-29,alza-sk,Pokémon TCG: SV05 Temporal Forces – Elite Trainer Box – Iron Thorns,https://www.alza.sk/hracky/pokemon-tcg-sv05-temporal-forces-elite-trainer-box-iron-thorns-d10676350.htm
